<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;5;20260130;162500;77303;77467;77294;77466;5266
Si;5;20260130;163000;77465;77499;77416;77421;7337
Si;5;20260130;163500;77418;77418;77363;77381;3850
Si;5;20260130;164000;77381;77420;77314;77320;4113
Si;5;20260130;164500;77323;77379;77321;77349;4864
Si;5;20260130;165000;77347;77412;77339;77405;2898
Si;5;20260130;165500;77404;77464;77403;77456;2151
Si;5;20260130;170000;77454;77464;77408;77437;2740
Si;5;20260130;170500;77435;77475;77421;77433;3030
Si;5;20260130;171000;77431;77447;77400;77412;3396
Si;5;20260130;171500;77415;77420;77363;77378;3688
Si;5;20260130;172000;77382;77415;77378;77407;2091
Si;5;20260130;172500;77407;77478;77388;77461;4511
Si;5;20260130;173000;77462;77480;77411;77480;2568
Si;5;20260130;173500;77480;77482;77390;77480;9008
Si;5;20260130;174000;77481;77484;77375;77400;9165
Si;5;20260130;174500;77399;77400;77316;77380;4950
Si;5;20260130;175000;77380;77409;77350;77379;2616
Si;5;20260130;175500;77380;77409;77350;77392;4202
Si;5;20260130;180000;77393;77449;77383;77444;7845
Si;5;20260130;180500;77443;77449;77405;77449;3341
Si;5;20260130;181000;77448;77448;77320;77342;4697
Si;5;20260130;181500;77339;77369;77296;77328;4765
Si;5;20260130;182000;77330;77354;77311;77316;2842
Si;5;20260130;182500;77320;77327;77281;77295;3385
Si;5;20260130;183000;77292;77303;77247;77292;3847
Si;5;20260130;183500;77291;77295;77251;77271;1967
Si;5;20260130;184000;77271;77348;77250;77336;3337
Si;5;20260130;184500;77337;77350;77304;77339;2246
Si;5;20260130;190500;77343;77388;77279;77377;4051
Si;5;20260130;191000;77378;77391;77374;77385;625
Si;5;20260130;191500;77385;77412;77384;77410;1471
Si;5;20260130;192000;77411;77416;77371;77377;1612
Si;5;20260130;192500;77377;77378;77373;77374;566
Si;5;20260130;193000;77373;77378;77371;77372;871
Si;5;20260130;193500;77371;77371;77346;77351;1509
Si;5;20260130;194000;77349;77360;77346;77360;588
Si;5;20260130;194500;77353;77381;77348;77348;708
Si;5;20260130;195000;77353;77356;77346;77349;841
Si;5;20260130;195500;77349;77350;77336;77341;742
Si;5;20260130;200000;77339;77341;77328;77328;267
Si;5;20260130;200500;77327;77338;77310;77338;534
Si;5;20260130;201000;77339;77340;77315;77316;958
Si;5;20260130;201500;77316;77327;77300;77308;878
Si;5;20260130;202000;77310;77326;77259;77260;1689
Si;5;20260130;202500;77261;77261;77201;77204;2056
Si;5;20260130;203000;77204;77229;77200;77218;1290
Si;5;20260130;203500;77218;77247;77213;77224;835
Si;5;20260130;204000;77222;77226;77176;77180;1198
Si;5;20260130;204500;77180;77197;77176;77197;805
Si;5;20260130;205000;77196;77279;77195;77255;2060
Si;5;20260130;205500;77255;77286;77217;77219;2350
Si;5;20260130;210000;77225;77296;77225;77253;824
Si;5;20260130;210500;77251;77294;77248;77264;819
Si;5;20260130;211000;77264;77285;77252;77254;761
Si;5;20260130;211500;77254;77254;77197;77246;1389
Si;5;20260130;212000;77246;77333;77246;77301;1402
Si;5;20260130;212500;77301;77301;77228;77243;1278
Si;5;20260130;213000;77240;77346;77234;77299;2038
Si;5;20260130;213500;77316;77336;77299;77304;977
Si;5;20260130;214000;77304;77320;77271;77293;1560
Si;5;20260130;214500;77294;77340;77293;77305;3104
Si;5;20260130;215000;77307;77347;77255;77256;1411
Si;5;20260130;215500;77258;77338;77250;77302;1112
Si;5;20260130;220000;77304;77356;77300;77356;1782
Si;5;20260130;220500;77355;77412;77355;77382;2155
Si;5;20260130;221000;77382;77429;77371;77375;1585
Si;5;20260130;221500;77374;77397;77374;77382;448
Si;5;20260130;222000;77384;77418;77379;77404;1063
Si;5;20260130;222500;77403;77414;77384;77397;407
Si;5;20260130;223000;77397;77450;77397;77427;917
Si;5;20260130;223500;77429;77429;77379;77386;719
Si;5;20260130;224000;77386;77386;77351;77370;583
Si;5;20260130;224500;77366;77380;77311;77321;1536
Si;5;20260130;225000;77314;77341;77283;77305;734
Si;5;20260130;225500;77305;77314;77286;77297;357
Si;5;20260130;230000;77297;77303;77273;77296;1089
Si;5;20260130;230500;77295;77407;77282;77385;1046
Si;5;20260130;231000;77383;77383;77317;77326;479
Si;5;20260130;231500;77333;77347;77325;77343;230
Si;5;20260130;232000;77343;77346;77326;77339;1223
Si;5;20260130;232500;77339;77345;77312;77322;441
Si;5;20260130;233000;77327;77334;77293;77303;1206
Si;5;20260130;233500;77306;77325;77290;77302;726
Si;5;20260130;234000;77302;77332;77282;77297;1026
Si;5;20260130;234500;77296;77305;77257;77258;1444
Si;5;20260202;085500;77260;77325;77260;77325;245
Si;5;20260202;090000;77325;77750;77261;77750;16301
Si;5;20260202;090500;77747;78147;77738;77870;23092
Si;5;20260202;091000;77870;77953;77832;77950;7872
Si;5;20260202;091500;77949;78040;77872;77883;5350
Si;5;20260202;092000;77881;77903;77803;77835;2819
Si;5;20260202;092500;77836;77950;77835;77915;3001
Si;5;20260202;093000;77909;77939;77819;77831;2512
Si;5;20260202;093500;77833;77860;77786;77819;2648
Si;5;20260202;094000;77831;77959;77810;77855;4839
Si;5;20260202;094500;77855;77937;77855;77923;2811
Si;5;20260202;095000;77915;77931;77873;77907;3141
Si;5;20260202;095500;77907;77930;77841;77878;3196
Si;5;20260202;100000;77871;77999;77657;77757;18041
Si;5;20260202;100500;77756;77867;77662;77845;10857
Si;5;20260202;101000;77846;77999;77846;77991;10598
Si;5;20260202;101500;77991;78319;77925;78205;28702
Si;5;20260202;102000;78206;78218;78120;78142;13449
Si;5;20260202;102500;78142;78157;78051;78074;12463
Si;5;20260202;103000;78075;78081;77958;78055;13455
Si;5;20260202;103500;78058;78378;78040;78348;19933
Si;5;20260202;104000;78346;78555;78345;78545;32527
Si;5;20260202;104500;78542;78690;78510;78671;41377
Si;5;20260202;105000;78670;78690;78636;78680;24976
Si;5;20260202;105500;78680;78750;78621;78689;29861
Si;5;20260202;110000;78685;78750;78533;78591;37143
Si;5;20260202;110500;78590;78647;78465;78476;15119
Si;5;20260202;111000;78477;78500;78450;78472;6508
Si;5;20260202;111500;78471;78500;78365;78459;33152
Si;5;20260202;112000;78464;78470;78354;78399;6683
Si;5;20260202;112500;78400;78400;78326;78330;7346
Si;5;20260202;113000;78329;78329;78293;78300;14668
Si;5;20260202;113500;78300;78418;78275;78386;12336
Si;5;20260202;114000;78389;78468;78389;78431;4915
Si;5;20260202;114500;78431;78454;78382;78382;3212
Si;5;20260202;115000;78385;78424;78294;78303;4161
Si;5;20260202;115500;78302;78305;78195;78233;9614
Si;5;20260202;120000;78233;78239;78166;78197;8644
Si;5;20260202;120500;78197;78210;78144;78148;4963
Si;5;20260202;121000;78150;78244;78138;78170;8541
Si;5;20260202;121500;78170;78170;78053;78127;9918
Si;5;20260202;122000;78125;78223;78103;78223;7242
Si;5;20260202;122500;78223;78235;78151;78193;8773
